Landmark,X,Y
61,171,510
146,166,517
91,159,527
181,151,541
84,146,556
17,146,571
314,149,583
405,156,591
321,164,595
375,171,597
291,176,599
185,172,519
40,171,531
39,172,545
37,174,563
0,172,578
267,176,588
269,177,594
270,177,597
409,177,598
78,170,515
95,169,524
88,167,534
178,165,546
87,164,560
14,164,573
317,166,580
402,168,586
318,170,590
324,172,592
308,174,596
191,169,524
80,167,534
81,166,547
82,165,560
13,165,573
312,166,581
311,168,586
310,170,590
415,172,592
