Landmark,X,Y
61,204,469
146,197,475
91,190,482
181,180,493
84,172,506
17,168,521
314,169,534
405,173,544
321,179,552
375,185,556
291,190,560
185,203,477
40,202,487
39,201,499
37,200,516
0,195,529
267,197,541
269,195,549
270,193,554
409,192,557
78,202,473
95,199,481
88,196,489
178,192,500
87,189,512
14,186,525
317,186,534
402,187,541
318,188,547
324,189,551
308,190,556
191,199,481
80,196,490
81,192,500
82,189,512
13,186,525
312,186,534
311,187,541
310,188,547
415,188,551
