Landmark,X,Y
61,459,543
146,463,541
91,468,537
181,474,531
84,479,524
17,480,515
314,478,508
405,474,503
321,468,499
375,464,497
291,461,496
185,454,539
40,451,533
39,447,525
37,441,515
0,443,506
267,443,499
269,447,494
270,452,493
409,457,494
78,459,539
95,459,535
88,460,531
178,461,525
87,462,519
14,462,513
317,462,508
402,461,505
318,461,503
324,461,501
308,461,499
191,458,535
80,458,530
81,458,524
82,458,517
13,458,511
312,459,506
311,459,503
310,459,501
415,459,500
