Landmark,X,Y
61,219,495
146,213,499
91,205,506
181,195,516
84,186,528
17,180,543
314,178,556
405,180,568
321,185,577
375,191,583
291,195,587
185,222,500
40,224,509
39,226,520
37,228,538
0,222,552
267,220,566
269,213,577
270,206,583
409,200,586
78,218,500
95,216,507
88,214,515
178,212,524
87,209,536
14,205,548
317,203,558
402,201,566
318,199,573
324,198,577
308,197,582
191,217,507
80,215,514
81,213,523
82,210,535
13,207,548
312,204,558
311,203,566
310,201,573
415,199,577
