Landmark,X,Y
61,247,363
146,244,367
91,242,373
181,239,382
84,238,393
17,240,406
314,243,422
405,249,437
321,255,449
375,259,457
291,262,463
185,251,365
40,255,370
39,261,377
37,267,388
0,267,402
267,272,417
269,270,434
270,268,447
409,265,456
78,248,367
95,250,373
88,252,378
178,254,385
87,255,394
14,256,404
317,259,418
402,261,430
318,262,441
324,262,450
308,262,458
191,250,373
80,252,378
81,254,386
82,256,394
13,257,405
312,260,418
311,261,430
310,262,441
415,262,450
