Landmark,X,Y
61,202,457
146,197,462
91,192,469
181,186,480
84,182,493
17,183,506
314,187,517
405,194,525
321,203,530
375,209,532
291,214,533
185,208,461
40,214,468
39,221,477
37,230,490
0,230,503
267,233,514
269,229,523
270,225,528
409,220,531
78,203,462
95,203,468
88,203,474
178,203,483
87,204,493
14,205,503
317,207,512
402,210,517
318,211,522
324,213,525
308,214,528
191,205,468
80,207,475
81,209,483
82,211,493
13,212,503
312,213,512
311,214,517
310,215,522
415,214,524
