Landmark,X,Y
61,207,472
146,202,473
91,196,477
181,188,483
84,183,492
17,182,503
314,183,513
405,188,521
321,195,526
375,201,528
291,205,529
185,209,474
40,210,478
39,211,485
37,212,496
0,210,507
267,212,516
269,212,523
270,210,527
409,208,529
78,206,475
95,203,479
88,199,483
178,196,488
87,193,496
14,191,504
317,193,512
402,196,517
318,199,520
324,202,523
308,205,526
191,207,480
80,206,484
81,206,490
82,205,497
13,204,505
312,205,512
311,205,517
310,205,520
415,205,522
