Landmark,X,Y
61,177,441
146,173,447
91,169,454
181,164,464
84,161,477
17,164,491
314,169,503
405,177,512
321,187,518
375,195,521
291,201,523
185,179,446
40,181,452
39,185,459
37,190,470
0,191,482
267,197,493
269,198,504
270,199,512
409,200,518
78,178,445
95,178,452
88,178,457
178,179,465
87,179,474
14,181,485
317,185,495
402,189,502
318,193,509
324,196,513
308,199,519
191,178,452
80,179,457
81,180,465
82,181,474
13,183,485
312,187,494
311,191,502
310,194,508
415,196,513
