Landmark,X,Y
61,156,456
146,152,463
91,147,471
181,142,484
84,140,498
17,144,512
314,152,523
405,162,531
321,175,535
375,184,537
291,192,538
185,157,462
40,160,469
39,163,477
37,169,489
0,171,503
267,180,513
269,184,522
270,187,528
409,190,533
78,156,460
95,156,468
88,157,474
178,158,483
87,159,494
14,163,505
317,168,514
402,174,521
318,180,526
324,184,530
308,189,535
191,156,468
80,157,475
81,158,483
82,160,494
13,163,505
312,169,514
311,174,521
310,179,526
415,184,530
