Landmark,X,Y
61,216,421
146,209,427
91,200,436
181,190,447
84,183,462
17,181,479
314,182,494
405,188,506
321,198,515
375,206,521
291,213,526
185,216,429
40,215,438
39,215,450
37,216,467
0,212,482
267,215,496
269,214,507
270,213,515
409,213,521
78,215,425
95,212,434
88,209,443
178,206,453
87,204,466
14,202,480
317,203,492
402,205,501
318,207,509
324,209,514
308,211,522
191,211,434
80,209,443
81,206,454
82,204,466
13,202,480
312,203,492
311,205,501
310,207,509
415,209,514
