Landmark,X,Y
61,152,508
146,144,511
91,134,516
181,122,524
84,113,537
17,109,553
314,110,569
405,116,585
321,126,596
375,134,603
291,141,608
185,152,514
40,150,520
39,148,529
37,146,541
0,139,555
267,143,570
269,142,584
270,141,594
409,142,602
78,150,512
95,146,519
88,143,525
178,139,533
87,135,543
14,131,555
317,132,568
402,133,579
318,135,588
324,137,595
308,140,603
191,146,520
80,143,526
81,139,533
82,135,543
13,132,554
312,132,567
311,134,578
310,136,587
415,137,595
