Landmark,X,Y
61,217,414
146,210,422
91,201,431
181,191,444
84,183,459
17,181,477
314,182,492
405,188,504
321,197,514
375,206,520
291,213,525
185,216,423
40,216,433
39,216,446
37,216,464
0,213,481
267,215,495
269,214,507
270,213,514
409,213,520
78,215,419
95,212,428
88,209,438
178,206,450
87,204,463
14,202,478
317,203,490
402,204,499
318,206,507
324,208,513
308,211,520
191,212,428
80,209,438
81,206,449
82,204,463
13,202,478
312,203,490
311,204,499
310,206,507
415,208,513
