Landmark,X,Y
61,204,474
146,197,479
91,188,487
181,178,497
84,171,510
17,168,525
314,169,538
405,173,548
321,181,555
375,187,559
291,193,563
185,204,480
40,203,490
39,203,501
37,203,516
0,198,529
267,200,541
269,197,550
270,195,556
409,194,560
78,202,478
95,199,486
88,196,493
178,193,503
87,190,514
14,187,526
317,188,536
402,188,544
318,189,549
324,190,553
308,192,559
191,199,485
80,196,493
81,193,503
82,190,515
13,188,527
312,187,536
311,188,544
310,189,549
415,190,553
