Landmark,X,Y
61,239,467
146,233,471
91,227,477
181,221,487
84,217,499
17,219,512
314,223,523
405,231,532
321,240,536
375,248,538
291,254,539
185,243,470
40,248,474
39,255,481
37,262,493
0,263,505
267,267,516
269,265,527
270,262,533
409,258,537
78,239,472
95,238,478
88,237,483
178,236,490
87,236,499
14,237,509
317,241,518
402,244,524
318,247,529
324,250,532
308,252,536
191,241,477
80,243,482
81,244,489
82,246,497
13,248,506
312,250,515
311,252,522
310,252,527
415,252,531
