Landmark,X,Y
61,408,519
146,412,517
91,417,514
181,424,509
84,428,502
17,429,494
314,428,487
405,423,481
321,416,477
375,411,475
291,407,474
185,404,516
40,399,511
39,394,504
37,389,495
0,391,487
267,390,480
269,395,475
270,400,474
409,404,473
78,408,516
95,407,512
88,407,508
178,407,502
87,408,497
14,408,491
317,408,487
402,407,484
318,407,481
324,407,479
308,407,477
191,407,512
80,407,507
81,406,502
82,406,496
13,406,491
312,406,486
311,406,483
310,406,481
415,406,479
