Landmark,X,Y
61,200,438
146,196,444
91,192,451
181,187,461
84,184,473
17,185,487
314,189,499
405,196,509
321,204,515
375,211,519
291,217,522
185,202,443
40,205,449
39,209,457
37,214,468
0,215,481
267,219,492
269,218,503
270,217,511
409,217,517
78,200,442
95,201,449
88,201,455
178,202,463
87,202,472
14,204,483
317,206,492
402,209,500
318,211,507
324,213,512
308,215,518
191,201,449
80,202,455
81,203,463
82,204,472
13,206,482
312,208,492
311,210,500
310,212,507
415,213,512
