Landmark,X,Y
61,197,468
146,192,474
91,188,482
181,182,493
84,177,506
17,174,519
314,174,532
405,177,542
321,181,551
375,184,556
291,188,560
185,198,474
40,198,484
39,199,495
37,199,511
0,195,526
267,196,539
269,194,549
270,192,554
409,191,558
78,196,473
95,194,481
88,193,488
178,191,497
87,188,509
14,186,521
317,186,531
402,186,540
318,187,546
324,187,550
308,188,555
191,195,481
80,193,488
81,191,498
82,188,509
13,185,522
312,185,532
311,186,541
310,187,547
415,187,550
