Landmark,X,Y
61,202,477
146,195,481
91,187,488
181,179,497
84,173,508
17,171,521
314,172,533
405,176,544
321,184,551
375,190,556
291,196,559
185,203,482
40,203,489
39,204,498
37,205,511
0,201,523
267,203,534
269,201,544
270,199,551
409,197,555
78,201,481
95,198,488
88,196,494
178,193,502
87,191,511
14,190,521
317,190,531
402,191,539
318,192,545
324,193,549
308,195,555
191,198,488
80,196,494
81,194,502
82,192,511
13,190,521
312,190,531
311,191,539
310,192,545
415,193,549
