Landmark,X,Y
61,259,411
146,255,416
91,250,424
181,245,436
84,241,450
17,240,465
314,242,480
405,247,493
321,253,503
375,258,509
291,262,513
185,262,416
40,265,424
39,269,434
37,273,449
0,271,464
267,274,478
269,271,492
270,267,501
409,264,508
78,259,416
95,259,424
88,259,431
178,259,441
87,259,452
14,259,464
317,260,476
402,261,486
318,261,494
324,261,501
308,261,508
191,259,424
80,259,431
81,260,441
82,260,452
13,259,464
312,260,476
311,261,486
310,261,494
415,261,501
