Landmark,X,Y
61,221,415
146,214,421
91,206,430
181,197,443
84,191,457
17,189,473
314,191,489
405,198,501
321,207,511
375,214,517
291,221,522
185,221,422
40,221,431
39,222,442
37,224,458
0,221,473
267,224,488
269,223,501
270,222,509
409,221,516
78,219,419
95,217,428
88,215,436
178,213,447
87,211,459
14,210,473
317,211,485
402,213,495
318,215,504
324,217,510
308,219,518
191,217,428
80,215,436
81,213,447
82,211,459
13,210,473
312,212,485
311,213,495
310,215,504
415,217,510
