Landmark,X,Y
61,241,502
146,238,506
91,234,512
181,230,521
84,229,532
17,231,543
314,237,554
405,247,562
321,257,567
375,264,570
291,269,572
185,247,502
40,253,504
39,261,507
37,270,514
0,271,526
267,278,537
269,278,551
270,275,560
409,273,567
78,243,505
95,245,509
88,247,513
178,250,518
87,252,525
14,255,533
317,259,542
402,263,550
318,266,556
324,267,562
308,268,568
191,245,510
80,247,513
81,250,518
82,252,525
13,255,533
312,260,542
311,263,550
310,266,557
415,267,562
