Landmark,X,Y
61,203,452
146,198,455
91,192,461
181,186,470
84,181,480
17,181,493
314,184,502
405,190,509
321,198,513
375,203,515
291,208,516
185,206,457
40,209,464
39,212,473
37,217,487
0,216,498
267,218,507
269,217,513
270,214,516
409,211,517
78,202,456
95,200,462
88,198,468
178,196,476
87,194,485
14,194,495
317,196,502
402,199,507
318,202,509
324,204,511
308,207,513
191,204,462
80,205,468
81,206,476
82,207,485
13,208,494
312,208,500
311,208,505
310,208,508
415,208,511
