Landmark,X,Y
61,175,495
146,169,497
91,161,501
181,152,509
84,145,521
17,143,536
314,145,553
405,152,566
321,160,575
375,167,579
291,173,581
185,175,499
40,174,505
39,172,513
37,170,524
0,166,538
267,169,553
269,171,564
270,172,571
409,174,577
78,173,499
95,170,505
88,167,510
178,164,517
87,161,526
14,158,537
317,160,549
402,163,558
318,166,566
324,168,571
308,171,576
191,171,505
80,168,510
81,164,518
82,161,527
13,158,537
312,160,548
311,163,558
310,166,565
415,169,570
