Landmark,X,Y
61,194,485
146,188,489
91,181,495
181,174,503
84,170,513
17,169,523
314,172,535
405,178,544
321,185,550
375,191,553
291,196,556
185,194,488
40,195,493
39,195,499
37,195,508
0,193,519
267,196,529
269,196,540
270,196,547
409,197,552
78,193,488
95,191,493
88,189,498
178,187,504
87,185,512
14,185,520
317,187,529
402,189,537
318,191,543
324,193,548
308,195,552
191,191,493
80,189,498
81,187,505
82,186,512
13,185,520
312,187,530
311,189,537
310,191,544
415,192,548
