Landmark,X,Y
61,217,482
146,213,486
91,208,492
181,203,500
84,200,510
17,202,521
314,207,529
405,217,535
321,227,537
375,234,538
291,240,538
185,220,483
40,223,486
39,226,490
37,230,497
0,232,507
267,238,515
269,240,524
270,241,530
409,241,535
78,218,485
95,218,490
88,218,493
178,218,499
87,218,505
14,220,513
317,224,519
402,229,525
318,233,529
324,236,532
308,238,535
191,218,490
80,218,493
81,218,498
82,219,505
13,221,512
312,225,519
311,229,524
310,233,529
415,236,532
